author,published,title,text,site_url
npr,"October 27, 2017","In Season Two, 'Stranger Things' Offers More Scares And The Same Quirky Quartet Of Nerds",,http://www.npr.org/560484047
npr,"October 27, 2017",'Ghosts of the Tsunami' Shows How 2011 Event Transformed Japan,,http://www.npr.org/560484109
npr,"October 27, 2017",Who Says You Can't Train A Cat? A Book Of Tips For Feline-Human Harmony,,http://www.npr.org/560387049
npr,"October 27, 2017",'Novitiate' Captures A Watershed Moment In The Life Of The Catholic Church,,http://www.npr.org/560396244
npr,"October 27, 2017",Real Or Fake Self-Help Book?,,http://www.npr.org/560265695
npr,"October 27, 2017",LA LA And,,http://www.npr.org/560265732
npr,"October 27, 2017",Musical Guest: Aimee Mann,,http://www.npr.org/560265736
npr,"October 27, 2017",Star Map,,http://www.npr.org/560265739
npr,"October 29, 2017",Food Safety After Flooding,,http://www.npr.org/560660177
npr,"October 27, 2017",Too Fast For Safety? Poultry Industry Wants To Speed Up The Slaughter Line,,http://www.npr.org/559572147
npr,"October 26, 2017",Celebrity Chef John Besh Leaves Company After 25 Allegations Of Harassment,,http://www.npr.org/560276777
npr,"October 26, 2017",'Healing Through Harvesting': Gleaning Unwanted Fruit Helps Refugees In Need,,http://www.npr.org/559550143
npr,"October 26, 2017",The Rise Of Halal Cuisine In An Age Of Islamophobia,,http://www.npr.org/554298738
npr,"October 26, 2017",Monsanto Attacks Scientists After Studies Show Trouble For Weedkiller Dicamba,,http://www.npr.org/559733837
npr,"October 26, 2017",Water Spinach Farmers Struggle To Recover After Hurricane Harvey,,http://www.npr.org/558664630
npr,"October 25, 2017","Remembering Cornelia Walker Bailey, A Giant Of Gullah Geechee Culture",,http://www.npr.org/560093667
npr,"October 25, 2017",The Trick To Making Your Own Halloween Candy? Swallowing Your Fear,,http://www.npr.org/559802149
npr,"October 24, 2017",Wine Organization Forecasts Historically Bad Year Due To Weather Events,,http://www.npr.org/559780704
npr,"October 24, 2017",Can Science Change The Mildewed Fortunes Of New York Heritage Hops?,,http://www.npr.org/558572534
npr,"October 23, 2017",The FDA Will Decide Whether 26 Ingredients Count As Fiber,,http://www.npr.org/558761819
npr,"October 22, 2017",Hawaii's Spate Of Spam Heists,,http://www.npr.org/559403062
npr,"October 22, 2017",Blending Techno And Tradition: You Should Be Dancing ... With Sake,,http://www.npr.org/558324182
npr,"October 20, 2017","Anthony Bourdain On 'Appetites,' Washing Dishes And The Food He Still Won't Eat",,http://www.npr.org/558792269
npr,"October 26, 2017",George H.W. Bush Responds To Groping Allegations,,http://www.npr.org/560148936
npr,"October 27, 2017",Snoop Dogg Takes On A New Role: Game Show Host,,http://www.npr.org/560346405
npr,"October 23, 2017",Hollywood Director James Toback Accused Of Harassment By Dozens Of Women,,http://www.npr.org/559458214
npr,"October 23, 2017",David Letterman Honored With Twain Award For American Comedy,,http://www.npr.org/559439508
npr,"October 22, 2017",Playboy Features First Transgender Playmate,,http://www.npr.org/559403048
npr,"October 20, 2017",Pop Culture Happy Hour: 'Shark Tank',,http://www.npr.org/558794439
npr,"October 20, 2017",Gabrielle Union Gets Real In 'We're Going To Need More Wine',,http://www.npr.org/558838759
npr,"October 19, 2017","Tom Hanks Considers The Cosmos, Nora Ephron, And A Man Dressed As A Shrimp",,http://www.npr.org/558292356
npr,"October 17, 2017",Taran Killam Says 'There Was Never Any Common Ground' When Trump Hosted 'SNL',,http://www.npr.org/558160262
npr,"October 16, 2017","In The Wake Of Harvey Weinstein Scandal, Women Say #MeToo",,http://www.npr.org/558165331
npr,"October 16, 2017","In His 15th Season At 'SNL,' Kenan Thompson Still Knows How To Play It Funny",,http://www.npr.org/557572303
npr,"October 15, 2017","'SNL' Goes After 'Well-Dressed Skin Tag' Weinstein, Stages Pence Walkouts",,http://www.npr.org/557859272
npr,"October 13, 2017","On Halloween, Insensitivity Goes Beyond Kimonos And Black Face",,http://www.npr.org/554251889
npr,"October 12, 2017",Jimmy Fallon On The School Of 'SNL' And His Tendency To Smile Too Much,,http://www.npr.org/557331357
npr,"October 12, 2017","As Democrats Purge Weinstein's Cash, Impact On The Party Is Likely To Be Low",,http://www.npr.org/557224353
npr,"October 11, 2017",Pop Culture Happy Hour: 'The Good Place',,http://www.npr.org/556991117
npr,"October 10, 2017","Marc Maron On Robin Williams, Barack Obama And Learning To Be A Good Listener",,http://www.npr.org/556212489
npr,"October 9, 2017",Q-Tip Says His New Kennedy Center Role Helps 'Institutionalize Hip-Hop',,http://www.npr.org/556546495
npr,"October 8, 2017",Agnes Varda And JR: The Cinematic Odd Couple Behind 'Faces Places',,http://www.npr.org/555730013
npr,"October 6, 2017",Kenan Thompson Becomes Longest-Serving Cast Member On SNL,,http://www.npr.org/556230541
npr,"October 5, 2017","Amid Harassment Reports, Harvey Weinstein Takes Leave Of Absence",,http://www.npr.org/555979858
npr,"October 5, 2017","'Jeopardy!' Champion Goes Viral With Quirky Style, Big Bets",,http://www.npr.org/555924260
npr,"October 5, 2017",'The Apprentice' Creators Look Back,,http://www.npr.org/555949712
npr,"October 27, 2017","Megan Phelps-Roper: If You're Raised To Hate, Can You Reverse It?",,http://www.npr.org/560181511
npr,"October 26, 2017",How 5 Tech Giants Have Become More Like Governments Than Companies,,http://www.npr.org/560136311
npr,"October 25, 2017",'Distracted Walking' Law Bans Texting While Crossing Streets In Honolulu,,http://www.npr.org/560089121
npr,"October 24, 2017","SecureDrop, Encrypted System For News Tips, Announces Fix For 'Vulnerability'",,http://www.npr.org/559798266
npr,"October 19, 2017",Amazon's 2nd Headquarters: Cities Make Their Final Pitches,,http://www.npr.org/558847282
npr,"October 19, 2017",What You Need To Know About The Honest Ads Act,,http://www.npr.org/558847414
npr,"October 19, 2017",Should College Professors Give 'Tech Breaks' In Class?,,http://www.npr.org/558751178
npr,"October 19, 2017",Young Children Are Spending Much More Time In Front Of Small Screens,,http://www.npr.org/558178851
npr,"October 19, 2017",Young Children Are Spending Much More Time In Front Of Small Screens,,http://www.npr.org/558178851
npr,"October 18, 2017",Why There's A Lot Of Buzz About A Possible Mosquito Emoji,,http://www.npr.org/554282679
npr,"October 13, 2017",Tristan Harris: Do Our Devices Control More Than We Think?,,http://www.npr.org/557418328
npr,"October 10, 2017",Elite Golden Keys Concierges Try To Stay Relevant Amid Growing Automation,,http://www.npr.org/556962335
npr,"October 6, 2017","Once Its AIM Was True, But Soon AOL's Instant Messenger Will Be No More",,http://www.npr.org/556196716
npr,"October 6, 2017",Should You Leave Grandma With The Robot?,,http://www.npr.org/556004028
npr,"October 6, 2017",How Monopoly Man Won The Internet,,http://www.npr.org/555979792
npr,"October 5, 2017",Sen. Amy Klobuchar On Social Media Political Ad Disclosure,,http://www.npr.org/555796348
npr,"October 3, 2017",That Time #Ramona Made Everyone Smile For A Few Minutes,,http://www.npr.org/555316521
npr,"October 1, 2017",What Can We Learn About The Effects Of Social Media Ads?,,http://www.npr.org/554933075
npr,"October 25, 2017",How Black Americans See Discrimination,,http://www.npr.org/559015355
npr,"October 25, 2017",'They Can't Just Be Average': Lifting Students Up Without Lowering The Bar,,http://www.npr.org/559535682
npr,"October 24, 2017",This Halloween: What Does It Mean To Call Something 'Spooky'?,,http://www.npr.org/559502238
npr,"October 21, 2017","When It Comes To Race And Sports, Who Owns An Athlete's Opinions?",,http://www.npr.org/557692016
npr,"October 18, 2017",A Year Of Love And Struggle In A New High School,,http://www.npr.org/558104287
npr,"October 5, 2017","A New Musical — And Its Audience — Grapple With Asian Identity, Through K-Pop",,http://www.npr.org/554738860
npr,"September 28, 2017","When The Parents Are White, The Child Is Black, And The Churches Are Segregated",,http://www.npr.org/553740407
npr,"September 24, 2017","Goodbye, For Now, To A Vital Source For Native American News",,http://www.npr.org/552328913
npr,"September 23, 2017",Who Put The 'Hispanic' In Hispanic Heritage Month?,,http://www.npr.org/552036578
npr,"September 22, 2017",(Legally) Selling Weed While Black,,http://www.npr.org/551888824
npr,"September 20, 2017","Black, Jewish And Avoiding The Synagogue On The High Holy Days",,http://www.npr.org/552098304
npr,"September 19, 2017",Starting School At The University That Enslaved Her Ancestors,,http://www.npr.org/551356878
npr,"September 17, 2017",What's In A (Hispanic-Sounding) Surname? We Gave Our Advice. Here's Yours,,http://www.npr.org/550750340
npr,"September 7, 2017",'His Ideology Is White Supremacy': Ta-Nehisi Coates On Donald Trump,,http://www.npr.org/549098169
npr,"September 8, 2017","Using Black Celebrities To Push Pop, Pudding And Politics",,http://www.npr.org/548738114
npr,"September 1, 2017",They Built Their Own Boating 'Shangri-La.' Preserving It May Be Just As Hard,,http://www.npr.org/543411917
npr,"October 29, 2017",Prize-Winning Photos Show A Different Side Of Instagram,,http://www.npr.org/560282385
npr,"October 28, 2017",Hepatitis A Outbreak Hits California,,http://www.npr.org/560554650
npr,"October 28, 2017",Agnes Binagwaho Is A Doctor With 'Sassitude',,http://www.npr.org/558067179
npr,"October 27, 2017",Counting The Heavy Cost Of Care In The Age Of Opioids,,http://www.npr.org/560459157
npr,"October 27, 2017",How Consumers Could Be Affected If CVS And Aetna Merge,,http://www.npr.org/560484086
npr,"October 27, 2017",An Ethical Dilemma In A Case Of Conjoined Twins From East Africa,,http://www.npr.org/560431688
npr,"October 27, 2017",State Health Officials Met With Trump Before Opioid Crisis Announcement,,http://www.npr.org/560361685
npr,"October 27, 2017",Doctors React To Trump's Opioid Emergency Declaration,,http://www.npr.org/560346475
npr,"October 26, 2017",Pharmaceutical Founder Arrested In Alleged Nationwide Opioid Scheme,,http://www.npr.org/560263997
npr,"October 26, 2017",Trump Declares Opioid Crisis A Public Health Emergency,,http://www.npr.org/560276721
npr,"October 26, 2017",Addiction Prevention Advocate On Trump's Public Health Emergency Declaration,,http://www.npr.org/560276747
npr,"October 26, 2017",'They Need Help': Trump Faces Backlash For Slow Response To Opioid Crisis,,http://www.npr.org/560238357
npr,"October 26, 2017",What Opioid Decision Means To Hard-Hit States Like West Virginia,,http://www.npr.org/560230941
npr,"October 26, 2017","In Opioid Crisis, Public Health Emergency Vs. National Emergency",,http://www.npr.org/560229103
npr,"October 26, 2017",Reductions In Federal Funding For Health Law Navigators Cut Unevenly,,http://www.npr.org/559574743
npr,"October 26, 2017",Narcan Opioid Overdose Spray Is Now Stocked By All Walgreens Pharmacies,,http://www.npr.org/560180901
npr,"October 26, 2017",Trump Administration Declares Opioid Crisis A Public Health Emergency,,http://www.npr.org/560083795
npr,"October 26, 2017",Court To Rule On Whether Relapse By An Addicted Opioid User Should Be A Crime,,http://www.npr.org/559541332
npr,"October 25, 2017","When A Boy Sticks Magnets Up His Nose, Doctors Have To Get Ingenious",,http://www.npr.org/559855710
npr,"October 25, 2017",Troubling History In Medical Research Still Fresh For Black Americans,,http://www.npr.org/556673640
npr,"October 26, 2017",Red Cross To Scale Back In Afghanistan,,http://www.npr.org/560246121
npr,"October 26, 2017","Wake Up, Sleepy Ikea Shoppers!",,http://www.npr.org/559819074
npr,"October 25, 2017",What's The Meaning Of The World Bank's New Poverty Lines?,,http://www.npr.org/558068646
npr,"October 25, 2017",Alexis Okeowo Finds God In The Brave Acts Of Ordinary Africans,,http://www.npr.org/559863327
npr,"October 24, 2017",VIDEOS: Look Who's Talking About Polio Over A Cup Of Coffee,,http://www.npr.org/559900631
npr,"October 22, 2017",How Widows Find Their Path To Healing In Zimbabwe,,http://www.npr.org/534901508
npr,"October 20, 2017","Troubled By Flint Water Crisis, 11-Year-Old Girl Invents Lead-Detecting Device",,http://www.npr.org/559071028
npr,"October 20, 2017",Nivea Ad For 'Visibly Fairer Skin' Sparks Controversy In West Africa,,http://www.npr.org/558875377
npr,"October 20, 2017",Webcast: Can The World Finally Wipe Out Polio?,,http://www.npr.org/558734436
npr,"October 19, 2017","Report: Pollution Kills 3 Times More than AIDS, TB And Malaria Combined",,http://www.npr.org/558821792
npr,"October 17, 2017",Why World Hunger Isn't Going Away As Fast As We'd Hoped,,http://www.npr.org/558132421
npr,"October 17, 2017",Fear Of Toxic Smog Leads India To Limit Diwali Fireworks,,http://www.npr.org/558067395
npr,"October 16, 2017",How White Cane Day Makes A Difference,,http://www.npr.org/558067629
npr,"October 15, 2017",PHOTOS: Trees That Tell Stories About The World We Live In,,http://www.npr.org/557121926
npr,"October 14, 2017","To Save Her Children, She Pretended To Be Crazy",,http://www.npr.org/544132851
npr,"October 14, 2017",U.S. Slashes Funds For Family Planning In Madagascar,,http://www.npr.org/555863044
npr,"October 12, 2017",India's Supreme Court Rules That Sex With A Bride Under 18 Is Rape,,http://www.npr.org/557347037
npr,"October 23, 2017",Screening For Diabetes Is Working Better Than Thought,,http://www.npr.org/559486787
npr,"October 23, 2017","In Memory Training Smackdown, One Method Dominates",,http://www.npr.org/558767704
npr,"October 22, 2017",Learning To Care For My Newborn Was A Humbling Experience,,http://www.npr.org/559012217
npr,"October 21, 2017",Many Breast Cancer Patients Receive More Radiation Therapy Than Needed,,http://www.npr.org/558837836
npr,"October 20, 2017",Rural Hospice That Spurns Federal Funds Has Offered Free Care for 40 Years,,http://www.npr.org/558819081
npr,"October 19, 2017",Pickleball For All: The Cross-Generational Power Of Play,,http://www.npr.org/558212306
npr,"October 18, 2017",Diabetes Technology Moves Closer To Making Life Easier For Patients,,http://www.npr.org/558098520
npr,"October 18, 2017","Drug Companies Make Eyedrops Too Big, And You Pay For The Waste",,http://www.npr.org/558358137
npr,"October 17, 2017","If You Want An IUD, Take Note Of Trump's New Birth Control Policy",,http://www.npr.org/558141304
npr,"October 16, 2017",Floating Away Your Anxiety And Stress,,http://www.npr.org/554063496
